Handbag snatch, Edinburgh	 Handbag snatch	15	55.9416523	-3.202287	Valleyfield St
High value break-in and theft	 None	8	55.953252	-3.188267	Waterloo Pl
High value car theft	 None	12	55.9349268	-3.1720555	Mayfield Terrace
High value car vandalisms	 None	14	55.9576936	-3.2204402	Learmonth Grove
High value coin theft,Edinburgh	 None	10	55.9107798	-3.2149027	Comiston Springs Ave
High value theft of jewellery, Edinburgh	 High value theft of jewellery	16	55.9530582	-3.2003033	George St
High vis patrols, following murder	 High vis patrols	10	55.9640044	-3.1721029	Dickson St
Hit and Run,Edinburgh	 None	10	55.9376375	-3.2061149	Bruntsfield Pl
Hit and run - Edinburgh	 None	13	55.9433082	-3.208926	Fountainbridge
Hit and run, Edinburgh	 Hit and run	14	55.9536318	-3.2291907	Queensferry Terrace
Hit and run, Edinburgh - appeal	 Hit and run	8	55.9536318	-3.2291907	Queensferry Terrace
Home security warning, West Lothian	 Home security warning	14	55.8894056	-3.5199376	Columbia Ave
Homophobic assault, Edinburgh	 Homophobic assault	16	55.9579062	-3.1891395	Broughton St
Houesbreaking, East Lothian	 Houesbreaking	14	55.940366	-3.0711918	Stoneyhill Drive
Housebreaking,Edinburgh	Housebreak	8	55.8958508	-3.2026281	Biggar Rd
Housebreaking, Leith	 Housebreaking	10	55.9617062	-3.1835991	Hopetoun Crescent
Housebreakings,West Lothian	Housebreak	8	55.953252	-3.188267	Waterloo Pl
Housebreaking , Midlothian	 Housebreaking 	8	55.8868974	-3.0758565	Newbattle Rd
Housebreaking and theft, Broxburn	 Housebreaking and theft	15	55.9312322	-3.4747701	Parkwood Crescent
Housebreaking, East Lothian	 Housebreaking	13	55.9286253	-3.0392815	Carberry Rd
Housebreaking and theft - Midlothian	Housebreak	15	55.8685924	-3.0627409	Park Rd
Hundreds of drivers caught during Police crackdown	 None	9	55.953252	-3.188267	Waterloo Pl
Indecent assault, Mayfield	 Indecent assault	10	55.8719475	-3.0394235	Bogwood Rd
Indecent exposure, Penicuik	 Indecent exposure	16	55.8402301	-3.2138857	Edinburgh Rd
Indecent assault appeal, Edinburgh	 Indecent assault appeal	9	55.9474486	-3.2060893	Lothian Rd
Indecent assault, Bathgate	 Indecent assault	8	55.8958714	-3.6197741	Kaim Crescent
Indecent assault, Musselburgh	 Indecent assault	10	55.9406279	-3.0506773	Mansfield Ave
Indecent exposure, Penicuik	 Indecent exposure	9	55.85005	-3.25505	House of Muir Steading
Indecent exposure, North Berwick	 Indecent exposure	12	56.0591515	-2.7375024	Cromwell Rd
Indecent Incident, Eskbank	 Indecent Incident	12	55.8890975	-3.0796084	Avenue Rd
Information appeal, Edinburgh	 Information appeal	9	55.9322114	-3.2021069	Clinton Rd
Jay Soso sentenced, Edinburgh	 Jay Soso sentenced	13	55.9656805	-3.2439714	Easter Drylaw Way
Jewellery recovered, Edinburgh	 Jewellery recovered	9	55.953252	-3.188267	Waterloo Pl
Junior Rd Safety Officers	 None	16	55.953252	-3.188267	Waterloo Pl
Kevin Rooney sentenced for murder of Rosina Sutherland	Murder	13	55.9247779	-3.2578338	Longstone Park
Knifepoint robbery, Edinburgh	 Knifepoint robbery	10	55.920571	-3.2864858	Sighthill View
Knifepoint robbery,Musselburgh	Robbery	8	55.9384096	-3.0619692	Eskview Terrace
Knifepoint Robbery	Robbery	16	55.9352998	-3.2426261	Gorgie Rd
Knifepoint robbery - Edinburgh	Robbery	15	55.931309	-3.2377871	Slateford Rd
LBP festive initiative, East and Midlothian	 LBP festive initiative	14	55.953252	-3.188267	Waterloo Pl
LBP Rd travel Warning	Warning	13	55.9971271	-3.4044431	Forth Rd Bridge
LBP wins major road award	 None	13	55.953252	-3.188267	Waterloo Pl
Lee Duncan murder appeal	Murder	9	55.9448855	-3.1974261	Lauriston Pl
Letter from DCC Steve Allen	 None	16	55.953252	-3.188267	Waterloo Pl
Locks glued, Edinburgh	 Locks glued	15	55.9609774	-3.1582556	Lochend Rd S
Lost prescription drugs returned	Drug	13	55.8458021	-3.051447	Hunterfield Rd
Lothian Borders Police Statement	 None	8	55.9315099	-3.2365062	Slateford Rd
M8 Re-opened	 None	12	55.953252	-3.188267	Waterloo Pl
Male pleads guilty to murder of Christopher Swailes	Murder	15	55.9619051	-3.2042587	Liddesdale Pl
