"(55.9466271, -3.1186505)",Durham Place Lane
"(55.934298, -3.4694735)",East Main Street
"(55.9527332, -3.180857)",Old Tolbooth Wynd
"(55.96414290000001, -3.2490428)",Groathill Road North
"(55.8508645, -3.5731726)",Gloag Place
"(55.9413879, -3.012698)",The Loan
"(55.869605, -3.6533333)",Main Street
"(55.960466, -3.2239029)",Fettes Avenue
"(55.87378769999999, -3.1037052)",Dundas Street
"(55.9421804, -3.2024332)",Drumdryan Street
"(55.9700272, -3.2210362)",Ferry Road
"(55.8256638, -3.710943)",Main Street
"(55.963525, -2.9699087)",Atholl View
"(55.9391002, -3.2102459)",Viewforth Square
"(55.9072498, -3.25745)",A Bridge Road
"(55.9491118, -3.1887443)",Tron Square
"(55.9380904, -3.0155129)",Drummohr Gardens
"(55.95964129999999, -3.1506065)",Restalrig Road South
"(55.9245732, -3.1772136)",West Mains Road
"(55.8946427, -3.4922409)",Beauly Drive
"(55.9669393, -3.1568633)",Restalrig Road
"(55.9391786, -3.2227698)",Dundee Terrace
"(55.95697200000001, -3.401411)",Main Street
"(55.9494759, -3.3038641)",Stuart Park
"(55.9549809, -3.1870651)",Leith Street
"(55.9687066, -3.155803)",Claremont Road
"(55.964661, -3.181829)",Dryden Street
"(55.89388, -3.5442526)",Oldwood Place
"(55.9363779, -2.9510358)",Toll House Gardens
"(55.94391659999999, -3.0603237)",North High Street
"(55.9497981, -3.1924434)",High Court
"(55.9770974, -3.2307832)",Pilton Drive North
"(55.9645376, -3.1719148)",Dickson Street
"(55.9363288, -2.9512432)",Toll House Gardens
"(55.9724397, -3.2651333)",Muirhouse Grove
"(55.9600385, -3.1456581)",Loaning Crescent
"(55.9665763, -3.2457856)",Easter Drylaw Place
"(55.9637542, -3.1761658)",Buchanan Street
"(55.92455289999999, -3.2338728)",Lockharton Avenue
"(55.951837, -3.2242513)",Belford Road
"(55.9430891, -3.2491621)",Saughtonhall Terrace
"(55.9571255, -3.2341582)",Orchard Drive
"(55.9212685, -3.2738367)",Dumbryden Gardens
"(55.91430459999999, -3.2773923)",Clovenstone Road
"(55.9498697, -3.1905812)",High Street
"(55.9173476, -3.2745939)",Hailesland Park
"(55.9070198, -3.5517167)",Beechwood Park
"(55.9175658, -3.280053)",Hailesland Road
"(55.9558441, -2.7756385)",Brown Street
"(55.9707283, -3.1792643)",Stanwell Street
"(55.94918329999999, -3.1875945)",Blair Street
